H_PSE100mean,H_PSE100std,H_PSE120mean,H_PSE120std,H_PSE240mean,H_PSE240std
0.47572,1.3482,1.5552,0.87676,0,0
0.40202,1.3349,1.4196,0.92378,0,0
0.35743,1.2885,1.4132,0.85756,0,0
0.41381,1.2659,1.4893,0.85125,0,0
0.53765,1.2382,1.6246,0.94069,0,0
0.62547,1.1946,1.6122,0.87192,0,0
0.61679,1.1944,1.5954,0.79747,0,0
0.54058,1.1911,1.593,0.75265,0,0
0.45091,1.272,1.6509,0.76615,0,0
0.35072,1.4955,1.6196,0.75257,0,0
0.41075,1.3806,1.6074,0.77817,0,0
0.42544,1.4362,1.6026,0.79558,0,0
0.41778,1.4832,1.5798,0.79199,0,0
0.34371,1.5893,1.5719,0.79798,0,0
0.30815,1.3367,1.5626,0.77074,0,0
0.36456,1.1337,1.5689,0.75954,0,0
0.43683,1.0917,1.6375,0.84139,0,0
0.49959,1.0584,1.5601,0.6847,0,0
0.54148,1.0731,1.531,0.65019,0,0
0.53992,1.1146,1.4628,0.677,0,0
0.47077,1.1268,1.4145,0.7554,0,0
0.37795,1.2248,1.3987,0.82075,0,0
0.43236,1.1536,1.4269,0.83667,1.511,0.78957
0.53159,1.2638,1.4272,0.72245,1.4786,0.80584
0.50806,1.0839,1.4737,0.65137,1.4346,0.821
0.49475,1.1577,1.5667,0.60521,1.4527,0.85447
0.37513,0.9091,1.5979,0.63485,1.4515,0.84583
0.28475,0.7994,1.5828,0.62922,1.4426,0.81739
0.37992,0.85906,1.5396,0.57094,1.4895,0.79982
0.46061,0.88398,1.4703,0.59465,1.539,0.827
0.44111,0.8954,1.4175,0.64027,1.5523,0.85859
0.46235,1.0458,1.3664,0.67896,1.5377,0.81856
0.60243,0.89036,1.3314,0.7141,1.4922,0.80318
0.68811,0.80849,1.3255,0.79074,1.438,0.78544
0.71973,0.7863,1.3266,0.85109,1.3865,0.74814
0.74538,0.79083,1.3463,0.96577,1.3558,0.75513
0.73676,0.80763,1.1976,0.97143,1.3588,0.81432
0.72157,0.93552,1.1789,0.72294,1.4504,0.88337
0.67981,0.95821,1.2326,0.63118,1.4771,0.82314
0.64034,0.915,1.2575,0.61348,1.5044,0.8054
0.66917,0.85224,1.3024,0.69504,1.5727,0.82178
0.71121,0.85838,1.3569,0.78386,1.6889,0.79582
0.67552,0.81949,1.3282,0.76278,1.6417,0.79679
0.69302,0.82048,1.2854,0.75789,1.6024,0.79712
0.72116,0.81825,1.2817,0.74351,1.5685,0.77462
0.75201,0.83956,1.3659,0.81228,1.5844,0.78064
0.78419,0.89455,1.3316,0.73011,1.5442,0.72676
0.75447,0.90136,1.236,0.75449,1.5871,0.66761
0.72092,0.92168,1.1504,0.79197,1.6637,0.65455
0.67313,0.99071,1.1045,0.81507,1.6951,0.63541
0.67616,0.92671,1.0728,0.87007,1.6165,0.61954
0.66031,0.90398,1.1594,0.85533,1.5868,0.60986
0.63217,0.9103,1.2814,0.80862,1.5543,0.61263
0.64172,0.93387,1.3151,0.75966,1.5572,0.62467
0.67428,0.99531,1.2865,0.66123,1.5524,0.66445
0.64174,1.0628,1.2796,0.71416,1.5958,0.71631
0.66236,1.0648,1.2285,0.87309,1.6007,0.66796
0.84723,0.94667,1.2182,0.9065,1.5275,0.69429
0.94592,0.97499,1.3657,0.83496,1.5077,0.68238
0.94685,1.07,1.5049,0.85189,1.494,0.68841
0.84607,1.0263,1.4223,0.74085,1.5112,0.74522
0.77478,1.0041,1.4022,0.68509,1.4715,0.75605
0.68841,0.9993,1.3955,0.63583,1.4442,0.75215
0.65644,1.032,1.4325,0.62326,1.4958,0.73349
0.65578,1.0592,1.4896,0.63543,1.5168,0.74068
0.65376,1.0921,1.5084,0.66735,1.5831,0.74458
0.66126,1.1357,1.4853,0.64642,1.6228,0.76911
0.67036,1.1484,1.5228,0.67643,1.637,0.7523
0.65191,1.1273,1.6377,0.76534,1.6513,0.72932
0.66558,1.1562,1.5454,0.76532,1.627,0.73691
0.62422,1.2925,1.4531,0.76048,1.6008,0.70432
0.51737,1.436,1.3999,0.80701,1.5918,0.68335
0.53421,1.2481,1.3704,0.77028,1.5812,0.67967
0.55652,1.1224,1.3269,0.75088,1.5554,0.69028
0.51828,0.97593,1.3922,0.82272,1.5121,0.68504
0.50791,0.97562,1.4387,0.79967,1.4956,0.67386
0.46212,1.104,1.4834,0.79171,1.494,0.7139
0.44103,1.1802,1.4136,0.80673,1.4382,0.79415
0.48593,1.2568,1.4279,0.9363,1.4484,0.68614
0.5366,1.3139,1.3329,0.89235,1.4516,0.64132
0.52376,1.2636,1.2737,0.94054,1.5057,0.65277
0.51001,1.2548,1.1575,0.92009,1.5412,0.68594
0.44336,1.2523,1.1152,0.88116,1.6151,0.77823
0.40771,1.2298,1.0972,0.81091,1.5899,0.72813
0.37069,1.1712,1.0234,0.91469,1.5208,0.68138
0.4002,1.0535,1.0292,0.92532,1.4579,0.70296
0.44493,1.0231,1.0791,0.92787,1.4109,0.74404
0.48669,0.91016,1.1493,0.9896,1.3731,0.77948
