H_PSE120mean,H_PSE120std
1.4074,0.5538
1.4194,0.50542
1.4557,0.52996
1.4932,0.56595
1.4488,0.52118
1.4875,0.62506
1.5582,0.62573
1.5958,0.70791
1.6071,0.71563
1.5924,0.74862
1.5543,0.75621
1.5445,0.79631
1.5552,0.87676
1.4196,0.92378
1.4132,0.85756
1.4893,0.85125
1.6246,0.94069
1.6122,0.87192
1.5954,0.79747
1.593,0.75265
1.6509,0.76615
1.6196,0.75257
1.6074,0.77817
1.6026,0.79558
1.5798,0.79199
1.5719,0.79798
1.5626,0.77074
1.5689,0.75954
1.6375,0.84139
1.5601,0.6847
1.531,0.65019
1.4628,0.677
1.4145,0.7554
1.3987,0.82075
1.4269,0.83667
1.4272,0.72245
1.4737,0.65137
1.5667,0.60521
1.5979,0.63485
1.5828,0.62922
1.5396,0.57094
1.4703,0.59465
1.4175,0.64027
1.3664,0.67896
1.3314,0.7141
1.3255,0.79074
1.3266,0.85109
1.3463,0.96577
1.1976,0.97143
1.1789,0.72294
1.2326,0.63118
1.2575,0.61348
1.3024,0.69504
1.3569,0.78386
1.3282,0.76278
1.2854,0.75789
1.2817,0.74351
1.3659,0.81228
1.3316,0.73011
1.236,0.75449
1.1504,0.79197
1.1045,0.81507
1.0728,0.87007
1.1594,0.85533
1.2814,0.80862
1.3151,0.75966
1.2865,0.66123
1.2796,0.71416
1.2285,0.87309
1.2182,0.9065
1.3657,0.83496
1.5049,0.85189
1.4223,0.74085
1.4022,0.68509
1.3955,0.63583
1.4325,0.62326
1.4896,0.63543
1.5084,0.66735
1.4853,0.64642
1.5228,0.67643
1.6377,0.76534
1.5454,0.76532
1.4531,0.76048
1.3999,0.80701
1.3704,0.77028
1.3269,0.75088
1.3922,0.82272
1.4387,0.79967
1.4834,0.79171
1.4136,0.80673
1.4279,0.9363
1.3329,0.89235
1.2737,0.94054
1.1575,0.92009
1.1152,0.88116
1.0972,0.81091
1.0234,0.91469
1.0292,0.92532
1.0791,0.92787
1.1493,0.9896
1.1476,0.91917
1.198,0.94104
1.2769,1.0054
1.2465,1.0024
1.1594,0.87192
1.1162,0.88013
1.0054,0.80656
0.96108,0.80664
0.90744,0.79658
0.91809,0.92371
0.90558,0.84034
0.92186,0.84005
0.92693,0.95256
0.91729,1.0369
0.9683,1.1537
0.96306,1.1468
0.87889,1.0783
0.85399,1.1332
0.80915,1.2009
0.77257,1.2614
0.76056,1.258
0.77333,1.2432
0.83783,1.2903
0.89771,1.3137
0.90474,1.3926
0.97696,1.3753
1.1556,1.2739
1.1173,1.136
1.0852,1.0621
1.0882,1.115
1.0252,1.0795
1.0025,1.0679
0.94407,1.0794
0.86826,1.0351
0.83747,1.0247
0.83876,1.0942
0.84979,1.0846
0.8806,1.0865
0.85332,1.0892
0.84408,1.0721
0.85126,0.9896
0.88205,0.92391
0.89455,0.9287
0.95837,0.92345
1.0442,0.94842
1.1036,0.96689
1.1626,1.0263
1.2136,1.0762
1.0794,0.92553
1.0179,0.94068
0.95687,0.92578
0.95717,0.92317
0.98992,0.90594
1.0408,0.92699
1.0597,0.94501
1.0768,0.96592
1.1441,1.0555
1.2143,1.1669
1.1519,1.1655
1.0981,1.1206
1.0757,1.0834
1.0877,1.1078
1.1246,1.1027
1.0211,0.96232
1.063,0.93194
1.0896,0.90468
1.1134,0.90282
1.1613,0.93725
1.143,0.95399
1.1094,0.9726
1.1275,1.027
1.0294,0.99063
1.0325,1.0581
0.98249,0.91531
0.9545,0.90037
0.93226,0.91746
0.93736,0.96755
1.0003,0.95151
1.0429,0.93473
1.1305,0.89054
1.2106,0.85884
1.2382,0.84163
1.2193,0.7989
1.1967,0.79668
1.1741,0.76657
1.1672,0.74105
1.1487,0.71817
1.1433,0.71593
1.1729,0.75141
1.2374,0.79632
1.3854,0.89095
1.4388,0.88803
1.4498,0.87139
1.4429,0.84249
1.4289,0.85064
1.3435,0.71985
1.3284,0.61221
1.3306,0.63648
1.3446,0.66334
1.3723,0.69522
1.4036,0.70546
1.4091,0.66823
1.3846,0.63817
1.3744,0.63437
1.3384,0.69628
1.2236,0.54915
1.164,0.5018
1.1519,0.53015
1.1538,0.56493
